startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-09-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2514,15166.1,935.8807,1624.73,3213.82,4935.65
2017-09-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2389,19195.89,980.0463,1701.975,3324.573,5725.873
2017-09-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1798,24404.53,1007.284,1796.865,3406.266,6970.515
2017-09-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2923,60407.53,970.0093,1685.078,3140.647,5284.63
2017-09-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2930,15625.17,953.1664,1703.245,3328.124,5901.913
2017-09-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2807,13178.33,953.142,1679.517,3171.882,5399.667
2017-09-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2723,10768.19,1018.691,1781.24,3277.014,4889.876
2017-09-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1936,16146.34,1046.088,1770.257,3351.773,6860.398
2017-10-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3072,13569.05,1042.763,1718.744,3480.744,6156.634
2017-10-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2812,9984.402,904.318,1497.951,3109.46,5140.716
2017-10-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2409,100585.2,875.0056,1437.583,3106.903,6116.008
2017-10-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2476,18520.83,968.9015,1623.604,3089.417,6310.164
2017-10-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1967,19228.47,954.1241,1578.151,2943.131,5611.536
2017-10-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2545,19234.72,937.5066,1703.236,3187.573,5612.046
2017-10-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2542,31598.47,935.5338,1546.875,2943.486,5062.107
2017-10-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2658,138511.3,905.4014,1540.91,3015.601,5632.999
2017-10-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2212,19191.2,862.0368,1515.725,2656.143,4904.426
2017-10-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1511,12409.48,953.141,1656.261,3128.134,5353.768
